# avg10RB: 0.870722      avg10RE: 1.000000     pct5: 476.000000		
# bytecnt, realBegin, caluAddAvgBegin, caluPct5Begin, realEnd, caluAddAvgEnd, caluPct5End
    167478,     72010,     72010,     72010,    167234,    167234,    167234
    167456,     71993,     71990,     72467,    167212,    167212,    166736
    167493,     72026,     72042,     72518,    167249,    167271,    166795
    167477,     72017,     71996,     72472,    167233,    167218,    166742
    167490,     72024,     72021,     72497,    167246,    167247,    166771
    167462,     71996,     71985,     72462,    167218,    167206,    166730
    167482,     72017,     72027,     72503,    167237,    167254,    166778
    167455,     71988,     71986,     72462,    167211,    167207,    166731
    167474,     72000,     72026,     72503,    167229,    167253,    166777
    167519,     72044,     72049,     72525,    167275,    167279,    166803
    167483,     72015,     71978,     72455,    167238,    167198,    166722
    167485,     72022,     72011,     72488,    167241,    167236,    166760
    167499,     72034,     72022,     72498,    167254,    167248,    166772
    167501,     72030,     72011,     72488,    167256,    167236,    166760
    167508,     72036,     72016,     72492,    167264,    167241,    166765
    167522,     72050,     72022,     72498,    167278,    167248,    166772
    167473,     72003,     71967,     72443,    167228,    167185,    166709
    167530,     72061,     72059,     72536,    167286,    167291,    166815
    167498,     72020,     71982,     72458,    167254,    167202,    166726
    167498,     72021,     72010,     72486,    167254,    167234,    166758
    167472,     72000,     71987,     72463,    167228,    167208,    166732
    167475,     72007,     72012,     72489,    167230,    167237,    166761
    167486,     72017,     72019,     72496,    167242,    167245,    166769
    167460,     71989,     71987,     72463,    167215,    167208,    166732
    167497,     72037,     72042,     72518,    167253,    167271,    166795
    167515,     72045,     72025,     72502,    167270,    167252,    166776
    167491,     72030,     71989,     72465,    167247,    167210,    166734
    167482,     72019,     72002,     72478,    167238,    167225,    166749
    167479,     72008,     72007,     72483,    167234,    167231,    166755
    167457,     71993,     71990,     72467,    167213,    167212,    166736
    167513,     72036,     72058,     72535,    167268,    167290,    166814
    167484,     72021,     71984,     72461,    167240,    167205,    166729
    167467,     71997,     71995,     72471,    167223,    167217,    166741
    167483,     72014,     72023,     72500,    167238,    167250,    166774
    167491,     72021,     72016,     72493,    167247,    167242,    166766
    167498,     72024,     72016,     72492,    167253,    167241,    166765
    167507,     72041,     72017,     72494,    167263,    167243,    166767
    167529,     72051,     72029,     72505,    167284,    167256,    166780
    167515,     72048,     71997,     72474,    167271,    167220,    166744
    167511,     72039,     72006,     72483,    167267,    167230,    166754
    167535,     72066,     72030,     72507,    167290,    167258,    166782
    167462,     71992,     71946,     72422,    167217,    167161,    166685
    167483,     72020,     72028,     72504,    167239,    167255,    166779
    167492,     72021,     72017,     72494,    167248,    167243,    166767
    167545,     72080,     72056,     72532,    167301,    167287,    166811
    167496,     72027,     71967,     72443,    167252,    167185,    166709
    167492,     72023,     72006,     72483,    167248,    167230,    166754
    167464,     72004,     71985,     72462,    167219,    167206,    166730
    167505,     72042,     72045,     72522,    167260,    167275,    166799
    167511,     72040,     72015,     72491,    167267,    167240,    166764
    167501,     72027,     72001,     72477,    167257,    167224,    166748
    167502,     72027,     72010,     72487,    167257,    167235,    166759
    167518,     72040,     72023,     72500,    167274,    167250,    166774
    167469,     71999,     71967,     72443,    167225,    167185,    166709
    167494,     72026,     72031,     72508,    167250,    167259,    166783
    167484,     72011,     72001,     72477,    167239,    167224,    166748
    167441,     71972,     71972,     72449,    167197,    167191,    166715
    167465,     71989,     72030,     72507,    167221,    167258,    166782
    167507,     72039,     72046,     72523,    167262,    167276,    166800
    167493,     72027,     71997,     72474,    167249,    167220,    166744
    167492,     72020,     72009,     72485,    167248,    167233,    166757
    167483,     72011,     72002,     72478,    167238,    167225,    166749
    167475,     72006,     72003,     72479,    167231,    167226,    166750
    167477,     72008,     72011,     72488,    167233,    167236,    166760
    167493,     72026,     72023,     72500,    167248,    167250,    166774
    167497,     72026,     72013,     72489,    167253,    167238,    166762
    167435,     71969,     71956,     72432,    167191,    167172,    166696
    167501,     72028,     72067,     72543,    167257,    167300,    166824
    167463,     71994,     71976,     72453,    167218,    167196,    166720
    167456,     71988,     72003,     72480,    167212,    167227,    166751
    167516,     72048,     72062,     72538,    167272,    167294,    166818
    167482,     72017,     71980,     72456,    167237,    167200,    166724
    167509,     72039,     72033,     72510,    167264,    167261,    166785
    167488,     72025,     71991,     72468,    167244,    167213,    166737
    167473,     72011,     71996,     72473,    167229,    167219,    166743
    167491,     72020,     72025,     72502,    167247,    167252,    166776
    167472,     72009,     71993,     72469,    167228,    167215,    166739
    167499,     72030,     72033,     72510,    167255,    167261,    166785
    167498,     72027,     72009,     72485,    167253,    167233,    166757
    167547,     72085,     72052,     72529,    167302,    167283,    166807
    167490,     72024,     71960,     72436,    167246,    167177,    166701
    167467,     72005,     71989,     72466,    167223,    167211,    166735
