#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:   84     -11    1581     326    2094
# realEnd   - caluDetEnd  :  119    -175     855      50    3096
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167478,     72010,     72011,    167234,    167233
    167456,     71993,     72010,    167212,    167256
    167493,     72026,     72025,    167249,    167234
    167477,     72017,     72010,    167233,    167235
    167490,     72024,     72022,    167246,    167234
    167462,     71996,     72010,    167218,    167250
    167482,     72017,     72014,    167237,    167234
    167455,     71988,     72010,    167211,    167257
    167474,     72000,     72010,    167229,    167238
    167519,     72044,     72051,    167275,    167234
    167483,     72015,     72015,    167238,    167234
    167485,     72022,     72017,    167241,    167234
    167499,     72034,     72031,    167254,    167234
    167501,     72030,     72033,    167256,    167234
    167508,     72036,     72040,    167264,    167234
    167522,     72050,     72054,    167278,    167234
    167473,     72003,     72010,    167228,    167239
    167530,     72061,     72062,    167286,    167234
    167498,     72020,     72030,    167254,    167234
    167498,     72021,     72030,    167254,    167234
    167472,     72000,     72010,    167228,    167240
    167475,     72007,     72010,    167230,    167237
    167486,     72017,     72018,    167242,    167234
    167460,     71989,     72010,    167215,    167252
    167497,     72037,     72029,    167253,    167234
    167515,     72045,     72047,    167270,    167234
    167491,     72030,     72023,    167247,    167234
    167482,     72019,     72014,    167238,    167234
    167479,     72008,     72011,    167234,    167234
    167457,     71993,     72010,    167213,    167255
    167513,     72036,     72045,    167268,    167234
    167484,     72021,     72016,    167240,    167234
    167467,     71997,     72010,    167223,    167245
    167483,     72014,     72015,    167238,    167234
    167491,     72021,     72023,    167247,    167234
    167498,     72024,     72030,    167253,    167234
    167507,     72041,     72039,    167263,    167234
    167529,     72051,     72061,    167284,    167234
    167515,     72048,     72047,    167271,    167234
    167511,     72039,     72043,    167267,    167234
    167535,     72066,     72067,    167290,    167234
    167462,     71992,     72010,    167217,    167250
    167483,     72020,     72015,    167239,    167234
    167492,     72021,     72024,    167248,    167234
    167545,     72080,     72077,    167301,    167234
    167496,     72027,     72028,    167252,    167234
    167492,     72023,     72024,    167248,    167234
    167464,     72004,     72010,    167219,    167248
    167505,     72042,     72037,    167260,    167234
    167511,     72040,     72043,    167267,    167234
    167501,     72027,     72033,    167257,    167234
    167502,     72027,     72034,    167257,    167234
    167518,     72040,     72050,    167274,    167234
    167469,     71999,     72010,    167225,    167243
    167494,     72026,     72026,    167250,    167234
    167484,     72011,     72016,    167239,    167234
    167441,     71972,     72010,    167197,    167271
    167465,     71989,     72010,    167221,    167247
    167507,     72039,     72039,    167262,    167234
    167493,     72027,     72025,    167249,    167234
    167492,     72020,     72024,    167248,    167234
    167483,     72011,     72015,    167238,    167234
    167475,     72006,     72010,    167231,    167237
    167477,     72008,     72010,    167233,    167235
    167493,     72026,     72025,    167248,    167234
    167497,     72026,     72029,    167253,    167234
    167435,     71969,     72010,    167191,    167277
    167501,     72028,     72033,    167257,    167234
    167463,     71994,     72010,    167218,    167249
    167456,     71988,     72010,    167212,    167256
    167516,     72048,     72048,    167272,    167234
    167482,     72017,     72014,    167237,    167234
    167509,     72039,     72041,    167264,    167234
    167488,     72025,     72020,    167244,    167234
    167473,     72011,     72010,    167229,    167239
    167491,     72020,     72023,    167247,    167234
    167472,     72009,     72010,    167228,    167240
    167499,     72030,     72031,    167255,    167234
    167498,     72027,     72030,    167253,    167234
    167547,     72085,     72079,    167302,    167234
    167490,     72024,     72022,    167246,    167234
    167467,     72005,     72010,    167223,    167245
    167508,     72046,     72040,    167264,    167234
    167513,     72045,     72045,    167269,    167234
    167487,     72021,     72019,    167242,    167234
    167542,     72072,     72074,    167298,    167234
    167484,     72012,     72016,    167240,    167234
    167526,     72060,     72058,    167281,    167234
    167488,     72023,     72020,    167244,    167234
    167464,     71996,     72010,    167220,    167248
    167510,     72039,     72042,    167265,    167234
    167486,     72016,     72018,    167241,    167234
    167501,     72034,     72033,    167257,    167234
    167530,     72056,     72062,    167286,    167234
    167491,     72026,     72023,    167246,    167234
    167490,     72021,     72022,    167246,    167234
    167458,     71993,     72010,    167213,    167254
    167491,     72023,     72023,    167247,    167234
    167481,     72010,     72013,    167237,    167234
    167475,     72001,     72010,    167230,    167237
    167506,     72032,     72038,    167262,    167234
    167535,     72065,     72067,    167290,    167234
    167508,     72042,     72040,    167264,    167234
    167514,     72043,     72046,    167270,    167234
    167509,     72039,     72041,    167264,    167234
    167569,     72100,     72101,    167324,    167234
    167499,     72029,     72031,    167255,    167234
    167474,     72013,     72010,    167230,    167238
    167523,     72062,     72055,    167279,    167234
    167510,     72043,     72042,    167266,    167234
    167510,     72040,     72042,    167266,    167234
    167485,     72016,     72017,    167241,    167234
    167508,     72045,     72040,    167264,    167234
    167520,     72055,     72052,    167275,    167234
    167492,     72027,     72024,    167248,    167234
    167499,     72033,     72031,    167254,    167234
    167482,     72006,     72014,    167238,    167234
    167487,     72020,     72019,    167243,    167234
    167476,     72012,     72010,    167232,    167236
    167469,     71996,     72010,    167225,    167243
    167528,     72058,     72060,    167284,    167234
    167476,     72019,     72010,    167231,    167236
    167515,     72043,     72047,    167271,    167234
    167515,     72042,     72047,    167271,    167234
    167462,     71994,     72010,    167217,    167250
    167533,     72064,     72065,    167289,    167234
    167478,     71999,     72011,    167234,    167233
    167479,     72010,     72011,    167235,    167234
    167505,     72035,     72037,    167261,    167234
    167499,     72030,     72031,    167255,    167234
    167484,     72022,     72016,    167239,    167234
    167526,     72060,     72058,    167282,    167234
    167494,     72028,     72026,    167250,    167234
    167505,     72045,     72037,    167261,    167234
    167467,     72007,     72010,    167223,    167245
    167500,     72037,     72032,    167255,    167234
    167531,     72061,     72063,    167286,    167234
    167455,     71991,     72010,    167211,    167257
    167483,     72021,     72015,    167239,    167234
    167488,     72019,     72020,    167244,    167234
    167520,     72058,     72052,    167276,    167234
    167480,     72014,     72012,    167236,    167234
    167480,     72017,     72012,    167236,    167234
    167455,     71984,     72010,    167210,    167257
    167498,     72035,     72030,    167254,    167234
    167493,     72028,     72025,    167249,    167234
    167473,     72007,     72010,    167229,    167239
    167476,     72015,     72010,    167231,    167236
    167469,     71993,     72010,    167224,    167243
    167525,     72055,     72057,    167280,    167234
    167484,     72021,     72016,    167239,    167234
    167514,     72043,     72046,    167269,    167234
    167486,     72016,     72018,    167242,    167234
    167505,     72038,     72037,    167261,    167234
    167478,     72006,     72011,    167234,    167233
    167498,     72034,     72030,    167253,    167234
    167460,     71991,     72010,    167216,    167252
    167487,     72025,     72019,    167243,    167234
    167494,     72022,     72026,    167249,    167234
    167494,     72029,     72026,    167249,    167234
    167463,     71999,     72010,    167218,    167249
    167510,     72046,     72042,    167266,    167234
    167509,     72046,     72041,    167264,    167234
    167498,     72030,     72030,    167253,    167234
    167478,     72015,     72011,    167233,    167233
    167489,     72024,     72021,    167244,    167234
    167515,     72050,     72047,    167270,    167234
    167445,     71980,     72010,    167201,    167267
    167468,     72002,     72010,    167223,    167244
    167476,     72009,     72010,    167232,    167236
    167467,     72004,     72010,    167223,    167245
    167436,     71965,     72010,    167191,    167276
    167479,     72007,     72011,    167235,    167234
    167478,     72007,     72011,    167233,    167233
    167507,     72034,     72039,    167262,    167234
    167472,     72005,     72010,    167227,    167240
    167479,     72005,     72011,    167235,    167234
    167485,     72014,     72017,    167241,    167234
    167531,     72059,     72063,    167287,    167234
    167460,     71992,     72010,    167215,    167252
    167511,     72047,     72043,    167266,    167234
    167516,     72047,     72048,    167271,    167234
    167516,     72050,     72048,    167272,    167234
    167509,     72046,     72041,    167265,    167234
    167467,     72007,     72010,    167223,    167245
    167463,     71999,     72010,    167219,    167249
    167472,     72013,     72010,    167228,    167240
    167500,     72037,     72032,    167255,    167234
    167479,     72011,     72011,    167234,    167234
    167471,     72005,     72010,    167227,    167241
    167481,     72021,     72013,    167237,    167234
    167498,     72033,     72030,    167253,    167234
    167484,     72022,     72016,    167240,    167234
    167476,     72012,     72010,    167232,    167236
    167489,     72022,     72021,    167245,    167234
    167509,     72046,     72041,    167265,    167234
    167504,     72033,     72036,    167260,    167234
    167526,     72057,     72058,    167282,    167234
    167498,     72031,     72030,    167254,    167234
    167496,     72028,     72028,    167252,    167234
    167484,     72007,     72016,    167240,    167234
    167507,     72041,     72039,    167263,    167234
    167459,     71990,     72010,    167214,    167253
    167485,     72017,     72017,    167240,    167234
    167465,     72002,     72010,    167221,    167247
    167473,     72001,     72010,    167228,    167239
    167487,     72021,     72019,    167243,    167234
    167485,     72020,     72017,    167241,    167234
    167514,     72051,     72046,    167270,    167234
    167475,     72004,     72010,    167230,    167237
    167544,     72071,     72076,    167300,    167234
    167498,     72020,     72030,    167254,    167234
    167460,     71995,     72010,    167215,    167252
    167498,     72032,     72030,    167254,    167234
    167508,     72043,     72040,    167264,    167234
    167519,     72053,     72051,    167275,    167234
    167496,     72032,     72028,    167252,    167234
    167515,     72049,     72047,    167271,    167234
    167499,     72031,     72031,    167255,    167234
    167522,     72054,     72054,    167277,    167234
    167464,     71997,     72010,    167220,    167248
    167524,     72055,     72056,    167279,    167234
    167495,     72024,     72027,    167250,    167234
    167515,     72044,     72047,    167271,    167234
    167474,     72011,     72010,    167229,    167238
    167518,     72044,     72050,    167273,    167234
    167479,     72014,     72011,    167234,    167234
    167504,     72032,     72036,    167260,    167234
    167447,     71982,     72010,    167203,    167265
    167497,     72028,     72029,    167252,    167234
    167480,     72008,     72012,    167236,    167234
    167476,     71999,     72010,    167232,    167236
    167465,     71998,     72010,    167221,    167247
    167470,     71997,     72010,    167226,    167242
    167457,     71987,     72010,    167212,    167255
    167466,     72000,     72010,    167222,    167246
    167504,     72036,     72036,    167260,    167234
    167512,     72044,     72044,    167268,    167234
    167501,     72038,     72033,    167256,    167234
    167521,     72056,     72053,    167276,    167234
    167462,     71990,     72010,    167218,    167250
    167526,     72054,     72058,    167282,    167234
    167467,     71998,     72010,    167223,    167245
    167513,     72048,     72045,    167268,    167234
    167494,     72029,     72026,    167249,    167234
    167487,     72021,     72019,    167243,    167234
    167503,     72034,     72035,    167259,    167234
    167481,     72017,     72013,    167237,    167234
    167512,     72047,     72044,    167267,    167234
    167500,     72030,     72032,    167255,    167234
    167507,     72040,     72039,    167262,    167234
    167517,     72057,     72049,    167272,    167234
    167454,     71991,     72010,    167210,    167258
    167475,     72009,     72010,    167230,    167237
    167498,     72036,     72030,    167253,    167234
    167500,     72030,     72032,    167256,    167234
    167481,     72010,     72013,    167237,    167234
    167491,     72023,     72023,    167247,    167234
    167492,     72024,     72024,    167248,    167234
    167464,     71999,     72010,    167219,    167248
    167450,     71984,     72010,    167206,    167262
    167490,     72024,     72022,    167245,    167234
    167514,     72047,     72046,    167270,    167234
    167492,     72018,     72024,    167248,    167234
    167508,     72042,     72040,    167264,    167234
    167516,     72050,     72048,    167272,    167234
    167536,     72075,     72068,    167292,    167234
    167533,     72062,     72065,    167288,    167234
    167535,     72061,     72067,    167290,    167234
    167560,     72088,     72092,    167316,    167234
    167517,     72049,     72049,    167273,    167234
    167506,     72040,     72038,    167262,    167234
    167520,     72056,     72052,    167275,    167234
    167525,     72059,     72057,    167281,    167234
    167498,     72023,     72030,    167254,    167234
    167557,     72084,     72089,    167313,    167234
    167504,     72043,     72036,    167259,    167234
    167489,     72020,     72021,    167245,    167234
    167453,     71993,     72010,    167208,    167259
    167520,     72055,     72052,    167275,    167234
    167494,     72020,     72026,    167249,    167234
    167539,     72066,     72071,    167295,    167234
    167542,     72069,     72074,    167297,    167234
    167550,     72079,     72082,    167305,    167234
    167537,     72072,     72069,    167293,    167234
    167488,     72023,     72020,    167244,    167234
    167520,     72052,     72052,    167275,    167234
    167554,     72090,     72086,    167310,    167234
    167492,     72026,     72024,    167248,    167234
    167576,     72112,     72108,    167331,    167234
    167501,     72032,     72033,    167257,    167234
    167475,     72012,     72010,    167230,    167237
    167484,     72018,     72016,    167240,    167234
    167490,     72027,     72022,    167246,    167234
    167507,     72041,     72039,    167263,    167234
    167544,     72075,     72076,    167300,    167234
    167468,     72002,     72010,    167223,    167244
    167511,     72048,     72043,    167267,    167234
    167481,     72021,     72013,    167237,    167234
    167507,     72037,     72039,    167263,    167234
    167510,     72031,     72042,    167266,    167234
    167491,     72024,     72023,    167246,    167234
    167458,     71996,     72010,    167214,    167254
    167510,     72045,     72042,    167265,    167234
    167497,     72033,     72029,    167253,    167234
    167472,     72003,     72010,    167227,    167240
    167504,     72037,     72036,    167260,    167234
    167496,     72029,     72028,    167252,    167234
    167516,     72047,     72048,    167271,    167234
    167514,     72043,     72046,    167269,    167234
    167502,     72036,     72034,    167258,    167234
    167483,     72015,     72015,    167239,    167234
    167485,     72018,     72017,    167241,    167234
    167528,     72063,     72060,    167283,    167234
    167502,     72039,     72034,    167258,    167234
    167464,     71994,     72010,    167219,    167248
    167489,     72024,     72021,    167244,    167234
    167483,     72017,     72015,    167239,    167234
    167465,     72000,     72010,    167220,    167247
    167473,     72011,     72010,    167228,    167239
    167466,     72006,     72010,    167222,    167246
    167504,     72033,     72036,    167260,    167234
    167497,     72035,     72029,    167253,    167234
    167517,     72050,     72049,    167273,    167234
