# wBeginAdd: 78
# wWaterAdd: 106
#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:  249      67       0       0    4001
# realEnd   - caluDetEnd  :  184       9       0       0    4001
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167478,     72010,     72088,    167234,    167050
    167456,     71993,     72110,    167212,    167072
    167493,     72026,     72103,    167249,    167065
    167477,     72017,     72089,    167233,    167051
    167490,     72024,     72100,    167246,    167062
    167462,     71996,     72104,    167218,    167066
    167482,     72017,     72092,    167237,    167054
    167455,     71988,     72111,    167211,    167073
    167474,     72000,     72092,    167229,    167054
    167519,     72044,     72129,    167275,    167091
    167483,     72015,     72093,    167238,    167055
    167485,     72022,     72095,    167241,    167057
    167499,     72034,     72109,    167254,    167071
    167501,     72030,     72111,    167256,    167073
    167508,     72036,     72118,    167264,    167080
    167522,     72050,     72132,    167278,    167094
    167473,     72003,     72093,    167228,    167055
    167530,     72061,     72140,    167286,    167102
    167498,     72020,     72108,    167254,    167070
    167498,     72021,     72108,    167254,    167070
    167472,     72000,     72094,    167228,    167056
    167475,     72007,     72091,    167230,    167053
    167486,     72017,     72096,    167242,    167058
    167460,     71989,     72106,    167215,    167068
    167497,     72037,     72107,    167253,    167069
    167515,     72045,     72125,    167270,    167087
    167491,     72030,     72101,    167247,    167063
    167482,     72019,     72092,    167238,    167054
    167479,     72008,     72089,    167234,    167051
    167457,     71993,     72109,    167213,    167071
    167513,     72036,     72123,    167268,    167085
    167484,     72021,     72094,    167240,    167056
    167467,     71997,     72099,    167223,    167061
    167483,     72014,     72093,    167238,    167055
    167491,     72021,     72101,    167247,    167063
    167498,     72024,     72108,    167253,    167070
    167507,     72041,     72117,    167263,    167079
    167529,     72051,     72139,    167284,    167101
    167515,     72048,     72125,    167271,    167087
    167511,     72039,     72121,    167267,    167083
    167535,     72066,     72145,    167290,    167107
    167462,     71992,     72104,    167217,    167066
    167483,     72020,     72093,    167239,    167055
    167492,     72021,     72102,    167248,    167064
    167545,     72080,     72155,    167301,    167117
    167496,     72027,     72106,    167252,    167068
    167492,     72023,     72102,    167248,    167064
    167464,     72004,     72102,    167219,    167064
    167505,     72042,     72115,    167260,    167077
    167511,     72040,     72121,    167267,    167083
    167501,     72027,     72111,    167257,    167073
    167502,     72027,     72112,    167257,    167074
    167518,     72040,     72128,    167274,    167090
    167469,     71999,     72097,    167225,    167059
    167494,     72026,     72104,    167250,    167066
    167484,     72011,     72094,    167239,    167056
