# 192.970000 26.264000
# bytecnt, realBegin, caluPerBegin, realEnd, caluPerEnd
    167478,     72010,     72010,    167234,    167234
    167456,     71993,     72181,    167212,    167019
    167493,     72026,     72240,    167249,    167078
    167477,     72017,     72187,    167233,    167025
    167490,     72024,     72216,    167246,    167054
    167462,     71996,     72175,    167218,    167013
    167482,     72017,     72223,    167237,    167061
    167455,     71988,     72176,    167211,    167014
    167474,     72000,     72222,    167229,    167060
    167519,     72044,     72248,    167275,    167086
    167483,     72015,     72167,    167238,    167005
    167485,     72022,     72205,    167241,    167043
    167499,     72034,     72217,    167254,    167055
    167501,     72030,     72205,    167256,    167043
    167508,     72036,     72210,    167264,    167048
    167522,     72050,     72217,    167278,    167055
    167473,     72003,     72154,    167228,    166992
    167530,     72061,     72260,    167286,    167098
    167498,     72020,     72171,    167254,    167009
    167498,     72021,     72203,    167254,    167041
    167472,     72000,     72177,    167228,    167015
    167475,     72007,     72206,    167230,    167044
    167486,     72017,     72214,    167242,    167052
    167460,     71989,     72177,    167215,    167015
    167497,     72037,     72240,    167253,    167078
    167515,     72045,     72221,    167270,    167059
    167491,     72030,     72179,    167247,    167017
    167482,     72019,     72194,    167238,    167032
    167479,     72008,     72200,    167234,    167038
    167457,     71993,     72181,    167213,    167019
    167513,     72036,     72259,    167268,    167097
    167484,     72021,     72174,    167240,    167012
    167467,     71997,     72186,    167223,    167024
    167483,     72014,     72219,    167238,    167057
    167491,     72021,     72211,    167247,    167049
    167498,     72024,     72210,    167253,    167048
    167507,     72041,     72212,    167263,    167050
    167529,     72051,     72225,    167284,    167063
    167515,     72048,     72189,    167271,    167027
    167511,     72039,     72199,    167267,    167037
    167535,     72066,     72227,    167290,    167065
    167462,     71992,     72130,    167217,    166968
    167483,     72020,     72224,    167239,    167062
    167492,     72021,     72212,    167248,    167050
    167545,     72080,     72256,    167301,    167094
    167496,     72027,     72154,    167252,    166992
    167492,     72023,     72199,    167248,    167037
    167464,     72004,     72175,    167219,    167013
    167505,     72042,     72244,    167260,    167082
    167511,     72040,     72209,    167267,    167047
    167501,     72027,     72193,    167257,    167031
    167502,     72027,     72204,    167257,    167042
    167518,     72040,     72219,    167274,    167057
    167469,     71999,     72154,    167225,    166992
    167494,     72026,     72228,    167250,    167066
    167484,     72011,     72193,    167239,    167031
    167441,     71972,     72160,    167197,    166998
    167465,     71989,     72227,    167221,    167065
    167507,     72039,     72245,    167262,    167083
    167493,     72027,     72189,    167249,    167027
    167492,     72020,     72202,    167248,    167040
    167483,     72011,     72194,    167238,    167032
    167475,     72006,     72195,    167231,    167033
    167477,     72008,     72205,    167233,    167043
    167493,     72026,     72219,    167248,    167057
    167497,     72026,     72207,    167253,    167045
    167435,     71969,     72141,    167191,    166979
    167501,     72028,     72269,    167257,    167107
    167463,     71994,     72165,    167218,    167003
    167456,     71988,     72196,    167212,    167034
    167516,     72048,     72263,    167272,    167101
    167482,     72017,     72169,    167237,    167007
