#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
       -22,       -17,       -22,        -9,       -22
        37,        33,        37,        16,        37
       -16,        -9,       -16,        -7,       -16
        13,         7,        13,         5,        13
       -28,       -28,       -28,       -11,       -28
        20,        21,        19,         8,        20
       -27,       -29,       -26,       -11,       -27
        19,        12,        18,         8,        19
        45,        44,        46,        19,        45
       -36,       -29,       -37,       -16,       -36
         2,         7,         3,         1,         2
        14,        12,        13,         6,        14
         2,        -4,         2,         1,         2
         7,         6,         8,         3,         7
        14,        14,        14,         6,        14
       -49,       -47,       -50,       -21,       -49
        57,        58,        58,        24,        57
       -32,       -41,       -32,       -13,       -32
         0,         1,         0,         0,         0
       -26,       -21,       -26,       -11,       -26
         3,         7,         2,         1,         3
        11,        10,        12,         5,        11
       -26,       -28,       -27,       -11,       -26
        37,        48,        38,        15,        37
        18,         8,        17,         8,        18
       -24,       -15,       -23,       -10,       -24
        -9,       -11,        -9,        -4,        -9
        -3,       -11,        -4,        -1,        -3
       -22,       -15,       -21,       -10,       -22
        56,        43,        55,        24,        56
       -29,       -15,       -28,       -12,       -29
       -17,       -24,       -17,        -7,       -17
        16,        17,        15,         6,        16
         8,         7,         9,         4,         8
         7,         3,         6,         3,         7
         9,        17,        10,         4,         9
        22,        10,        21,         9,        22
       -14,        -3,       -13,        -6,       -14
        -4,        -9,        -4,        -2,        -4
        24,        27,        23,        10,        24
       -73,       -74,       -73,       -30,       -73
        21,        28,        22,         8,        21
         9,         1,         9,         4,         9
        53,        59,        53,        23,        53
       -49,       -53,       -49,       -21,       -49
        -4,        -4,        -4,        -2,        -4
       -28,       -19,       -29,       -12,       -28
        41,        38,        41,        18,        41
         6,        -2,         7,         2,         6
       -10,       -13,       -10,        -4,       -10
         1,         0,         0,         1,         1
        16,        13,        17,         6,        16
       -49,       -41,       -49,       -20,       -49
        25,        27,        25,        10,        25
       -10,       -15,       -11,        -4,       -10
       -43,       -39,       -42,       -18,       -43
        24,        17,        24,        10,        24
